date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 09 08 24.35, +17 13 15.4, 4.43567763230469,-14.0347677, 0.2444334, 288.19295, -46.96226,
 1825-Jan-08 00:00, 09 05 28.14, +17 27 23.8, 4.38556021855510,-10.7126719, 0.2822675, 287.58227, -35.60302,
 1825-Jan-15 00:00, 09 02 08.69, +17 42 52.1, 4.34939788327009, -7.1333147, 0.3110589, 287.04424, -23.57077,
 1825-Jan-22 00:00, 08 58 32.68, +17 59 05.8, 4.32813976169045, -3.3573417, 0.3285823, 286.53445, -11.05625,
 1825-Jan-29 00:00, 08 54 48.10, +18 15 26.9, 4.32233286260334, 0.4899237, 0.3337192, 286.04485, 1.6037221,
 1825-Feb-05 00:00, 08 51 03.26, +18 31 19.2, 4.33203728761258, 4.3027330, 0.3268509, 285.58023, 14.105975,
 1825-Feb-12 00:00, 08 47 26.13, +18 46 11.8, 4.35699162886398, 8.0267859, 0.3086908, 285.13505, 26.272097,
 1825-Feb-19 00:00, 08 44 04.44, +18 59 36.6, 4.39669803466177, 11.5824965, 0.2795673, 284.70046, 37.934669,
 1825-Feb-26 00:00, 08 41 05.45, +19 11 10.2, 4.45025869784279, 14.8640429, 0.2409628, 284.28013, 48.907436,
 1825-Mar-05 00:00, 08 38 35.05, +19 20 36.3, 4.51640205934623, 17.8013463, 0.1954036, 283.87374, 59.065891,
 1825-Mar-12 00:00, 08 36 37.41, +19 27 46.2, 4.59372682263057, 20.3967014, 0.1450184, 283.43100, 68.455343,
 1825-Mar-19 00:00, 08 35 15.65, +19 32 33.8, 4.68080686063213, 22.6163265, 0.0909415, 282.76139, 77.182379,
 1825-Mar-26 00:00, 08 34 31.83, +19 34 56.2, 4.77602186132953, 24.4164660, 0.0351009, 280.58860, 85.255599,
 1825-Apr-02 00:00, 08 34 26.57, +19 34 54.7, 4.87765352594202, 25.7937043, 0.0207215, 109.37551, 87.288160,
 1825-Apr-09 00:00, 08 34 59.25, +19 32 33.3, 4.98408094007525, 26.7972148, 0.0748543, 105.33902, 80.447185,
 1825-Apr-16 00:00, 08 36 08.74, +19 27 55.6, 5.09383652326706, 27.4352069, 0.1273927, 104.76662, 74.044277,
 1825-Apr-23 00:00, 08 37 53.57, +19 21 04.8, 5.20540358962257, 27.6934349, 0.1774339, 104.61295, 68.043370,
 1825-Apr-30 00:00, 08 40 11.55, +19 12 06.3, 5.31728892184192, 27.6015124, 0.2240198, 104.61555, 62.450395,
 1825-May-07 00:00, 08 43 00.03, +19 01 05.8, 5.42820528617617, 27.2221357, 0.2670330, 104.71906, 57.232472,
 1825-May-14 00:00, 08 46 16.53, +18 48 07.6, 5.53703548041807, 26.5674020, 0.3068908, 104.89439, 52.290196,
 1825-May-21 00:00, 08 49 58.68, +18 33 15.4, 5.64265234358544, 25.6331948, 0.3434192, 105.11569, 47.577790,
 1825-May-28 00:00, 08 54 03.83, +18 16 34.5, 5.74396427093313, 24.4478047, 0.3761773, 105.37003, 43.105939,
 1825-Jun-04 00:00, 08 58 29.25, +17 58 10.6, 5.84009101256206, 23.0757634, 0.4054399, 105.65763, 38.875077,
 1825-Jun-11 00:00, 09 03 12.63, +17 38 07.9, 5.93030413238074, 21.5189906, 0.4318446, 105.97239, 34.802108,
 1825-Jun-18 00:00, 09 08 11.81, +17 16 30.6, 6.01383427747578, 19.7716088, 0.4552877, 106.30200, 30.850653,
 1825-Jun-25 00:00, 09 13 24.57, +16 53 24.8, 6.08995229510979, 17.8611083, 0.4755164, 106.63998, 27.029394,
 1825-Jul-02 00:00, 09 18 48.64, +16 28 56.9, 6.15811272502339, 15.8415830, 0.4928218, 106.98818, 23.352225,
 1825-Jul-09 00:00, 09 24 22.16, +16 03 12.3, 6.21789779068815, 13.7141227, 0.5077875, 107.34238, 19.760568,
 1825-Jul-16 00:00, 09 30 03.46, +15 36 16.5, 6.26883437096452, 11.4646406, 0.5203027, 107.69382, 16.208801,
 1825-Jul-23 00:00, 09 35 50.71, +15 08 17.2, 6.31047008762897, 9.1229744, 0.5300107, 108.03792, 12.710943,
 1825-Jul-30 00:00, 09 41 42.07, +14 39 22.5, 6.34254526471671, 6.7383621, 0.5372403, 108.37759, 9.2857626,
 1825-Aug-06 00:00, 09 47 36.05, +14 09 39.5, 6.36488981710573, 4.3064983, 0.5423770, 108.70898, 5.8866249,
 1825-Aug-13 00:00, 09 53 31.25, +13 39 15.8, 6.37728946972372, 1.8179032, 0.5452825, 109.02527, 2.4707950,
