date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 21 22 01.89, -16 38 31.1, 2.06897927856474, 6.7711172, 1.9648947, 72.259106, 7.8406954,
 1825-Jan-08 00:00, 21 43 38.43, -14 50 20.5, 2.09629666817821, 6.7456854, 1.9657215, 70.769524, 7.7076825,
 1825-Jan-15 00:00, 22 04 53.55, -12 55 00.9, 2.12351700616848, 6.7152738, 1.9656203, 69.466686, 7.5763597,
 1825-Jan-22 00:00, 22 25 48.56, -10 53 42.9, 2.15055817451695, 6.6584577, 1.9635219, 68.359289, 7.4272529,
 1825-Jan-29 00:00, 22 46 24.70, -08 47 41.7, 2.17734699886459, 6.5941987, 1.9589531, 67.448294, 7.2834305,
 1825-Feb-05 00:00, 23 06 43.74, -06 38 10.8, 2.20389433108585, 6.5407084, 1.9526448, 66.730826, 7.1615273,
 1825-Feb-12 00:00, 23 26 48.39, -04 26 17.7, 2.23021987761850, 6.4762794, 1.9457870, 66.207953, 7.0331321,
 1825-Feb-19 00:00, 23 46 41.72, -02 13 08.7, 2.25620760557174, 6.3740986, 1.9375548, 65.880893, 6.8728927,
 1825-Feb-26 00:00, 00 06 26.25, +00 00 08.1, 2.28172956816425, 6.2495539, 1.9273932, 65.744777, 6.6997823,
 1825-Mar-05 00:00, 00 26 04.43, +02 12 27.2, 2.30674047733221, 6.1243178, 1.9158378, 65.793155, 6.5347890,
 1825-Mar-12 00:00, 00 45 39.23, +04 22 49.8, 2.33123224813952, 5.9848710, 1.9042104, 66.025056, 6.3587722,
 1825-Mar-19 00:00, 01 05 13.75, +06 30 19.9, 2.35506907033001, 5.7998740, 1.8919389, 66.439390, 6.1408905,
 1825-Mar-26 00:00, 01 24 50.29, +08 33 59.9, 2.37808295277142, 5.5813033, 1.8783741, 67.029296, 5.8960626,
 1825-Apr-02 00:00, 01 44 30.69, +10 32 54.9, 2.40018612340033, 5.3533461, 1.8638439, 67.787094, 5.6482412,
 1825-Apr-09 00:00, 02 04 16.94, +12 26 15.8, 2.42135217621693, 5.1108663, 1.8496720, 68.710772, 5.3875189,
 1825-Apr-16 00:00, 02 24 11.07, +14 13 16.9, 2.44144275057858, 4.8197131, 1.8355403, 69.796832, 5.0789191,
 1825-Apr-23 00:00, 02 44 14.12, +15 53 12.3, 2.46026723865196, 4.4878173, 1.8206987, 71.035383, 4.7324850,
 1825-Apr-30 00:00, 03 04 26.30, +17 25 19.1, 2.47771063698067, 4.1412493, 1.8052620, 72.415533, 4.3743779,
 1825-May-07 00:00, 03 24 47.74, +18 49 00.1, 2.49373859824484, 3.7820668, 1.7904796, 73.931547, 4.0028554,
 1825-May-14 00:00, 03 45 18.52, +20 03 42.9, 2.50822435751834, 3.3755315, 1.7762662, 75.574501, 3.5809513,
 1825-May-21 00:00, 04 05 57.68, +21 08 57.7, 2.52097111009603, 2.9246249, 1.7617952, 77.328520, 3.1125563,
 1825-May-28 00:00, 04 26 43.25, +22 04 19.4, 2.53184941104520, 2.4567172, 1.7469619, 79.176595, 2.6251759,
 1825-Jun-04 00:00, 04 47 33.14, +22 49 30.0, 2.54082644593756, 1.9797275, 1.7329212, 81.107087, 2.1245908,
 1825-Jun-11 00:00, 05 08 25.45, +23 24 17.2, 2.54779672502632, 1.4602352, 1.7197781, 83.104045, 1.5736346,
 1825-Jun-18 00:00, 05 29 17.49, +23 48 34.5, 2.55257161341837, 0.8958374, 1.7066769, 85.145610, 0.9690236,
 1825-Jun-25 00:00, 05 50 05.86, +24 02 22.0, 2.55501727464516, 0.3142721, 1.6932858, 87.210249, 0.3387519,
 1825-Jul-02 00:00, 06 10 47.36, +24 05 46.9, 2.55511039677169, -0.2714015, 1.6806772, 89.282916, -0.305087,
 1825-Jul-09 00:00, 06 31 19.46, +23 59 01.4, 2.55277336836834, -0.8921954, 1.6691012, 91.345150, -0.997907,
 1825-Jul-16 00:00, 06 51 39.51, +23 42 23.4, 2.54783815245727, -1.5553975, 1.6577232, 93.374932, -1.750446,
 1825-Jul-23 00:00, 07 11 44.57, +23 16 17.6, 2.54017602798404, -2.2341085, 1.6459826, 95.353040, -2.536461,
 1825-Jul-30 00:00, 07 31 32.21, +22 41 12.8, 2.52978115900052, -2.9100168, 1.6348787, 97.268406, -3.336588,
 1825-Aug-06 00:00, 07 51 01.15, +21 57 39.2, 2.51661126509435, -3.6113355, 1.6247747, 99.106933, -4.184127,
 1825-Aug-13 00:00, 08 10 10.31, +21 06 10.7, 2.50053149648683, -4.3490589, 1.6148873, 100.85306, -5.096687,
 1825-Aug-20 00:00, 08 28 58.49, +20 07 25.6, 2.48143020771130, -5.0984109, 1.6044341, 102.49558, -6.052429,
 1825-Aug-27 00:00, 08 47 24.98, +19 02 03.1, 2.45932849595306, -5.8353688, 1.5943318, 104.03158, -7.023789,
 1825-Sep-03 00:00, 09 05 30.13, +17 50 40.0, 2.43422997380813, -6.5852801, 1.5850475, 105.45379, -8.041594,
 1825-Sep-10 00:00, 09 23 14.58, +16 33 54.4, 2.40604683511106, -7.3615715, 1.5758535, 106.75412, -9.129620,
 1825-Sep-17 00:00, 09 40 38.63, +15 12 27.2, 2.37470000491309, -8.1424925, 1.5657612, 107.92923, -10.27312,
 1825-Sep-24 00:00, 09 57 42.75, +13 46 58.8, 2.34024915612428, -8.8981578, 1.5555696, 108.98300, -11.43590,
 1825-Oct-01 00:00, 10 14 28.28, +12 18 04.9, 2.30275772141388, -9.6508851, 1.5458610, 109.91264, -12.64553,
 1825-Oct-08 00:00, 10 30 56.68, +10 46 21.3, 2.26220016892578,-10.4157649, 1.5359475, 110.71459, -13.93179,
 1825-Oct-15 00:00, 10 47 08.89, +09 12 26.6, 2.21854763736339,-11.1743391, 1.5246414, 111.39043, -15.28931,
 1825-Oct-22 00:00, 11 03 05.63, +07 36 59.0, 2.17191125337833,-11.8916258, 1.5125691, 111.94798, -16.67425,
 1825-Oct-29 00:00, 11 18 48.33, +06 00 31.0, 2.12242868546669,-12.5864868, 1.5004459, 112.38610, -18.10927,
 1825-Nov-05 00:00, 11 34 18.41, +04 23 34.8, 2.07015095785348,-13.2757127, 1.4875951, 112.70310, -19.63099,
 1825-Nov-12 00:00, 11 49 36.59, +02 46 46.2, 2.01511476087020,-13.9439501, 1.4725975, 112.90359, -21.24561,
 1825-Nov-19 00:00, 12 04 43.05, +01 10 40.8, 1.95749355102691,-14.5528786, 1.4558375, 112.99806, -22.90469,
 1825-Nov-26 00:00, 12 19 38.48, -00 24 11.8, 1.89750869166332,-15.1173866, 1.4381571, 112.98612, -24.62363,
 1825-Dec-03 00:00, 12 34 23.54, -01 57 22.4, 1.83529681236628,-15.6565589, 1.4188434, 112.86724, -26.44777,
 1825-Dec-10 00:00, 12 48 57.94, -03 28 18.5, 1.77096796234803,-16.1579127, 1.3961219, 112.64953, -28.39879,
 1825-Dec-17 00:00, 13 03 20.45, -04 56 27.5, 1.70476330197177,-16.5817298, 1.3700362, 112.34714, -30.42854,
 1825-Dec-24 00:00, 13 17 30.17, -06 21 23.0, 1.63698877625409,-16.9386079, 1.3414690, 111.96172, -32.54388,
 1825-Dec-31 00:00, 13 31 26.08, -07 42 40.7, 1.56786866434468,-17.2501497, 1.3095598, 111.49550, -34.80163,
 1826-Jan-07 00:00, 13 45 05.77, -08 59 53.2, 1.49758733220333,-17.5063657, 1.2718786, 110.96322, -37.24784,
 1826-Jan-14 00:00, 13 58 25.41, -10 12 33.6, 1.42645674837156,-17.6666999, 1.2279224, 110.38669, -39.84212,
 1826-Jan-21 00:00, 14 11 21.16, -11 20 22.4, 1.35486728260672,-17.7370827, 1.1783691, 109.77393, -42.58571,
 1826-Jan-28 00:00, 14 23 48.78, -12 23 03.9, 1.28313633116887,-17.7400191, 1.1219216, 109.13515, -45.55198,
 1826-Feb-04 00:00, 14 35 42.05, -13 20 20.2, 1.21153405371164,-17.6660551, 1.0548953, 108.50190, -48.83040,
 1826-Feb-11 00:00, 14 46 52.44, -14 11 55.0, 1.14046657101040,-17.4710537, 0.9758313, 107.91845, -52.40358,
 1826-Feb-18 00:00, 14 57 10.93, -14 57 40.1, 1.07043906148785,-17.1541689, 0.8848237, 107.41937, -56.27969,
 1826-Feb-25 00:00, 15 06 27.74, -15 37 31.2, 1.00190808586134,-16.7335710, 0.7797491, 107.05963, -60.56164,
 1826-Mar-04 00:00, 15 14 30.25, -16 11 21.7, 0.93529943157974,-16.1937752, 0.6551385, 106.97972, -65.42081,
 1826-Mar-11 00:00, 15 21 02.63, -16 39 03.7, 0.87121353807156,-15.4794716, 0.5090225, 107.48148, -70.89865,
 1826-Mar-18 00:00, 15 25 48.99, -17 00 33.7, 0.81039423490458,-14.5782946, 0.3427013, 109.39340, -77.03189,
 1826-Mar-25 00:00, 15 28 34.02, -17 15 47.0, 0.75358290351541,-13.4979149, 0.1580464, 117.69555, -83.91186,
 1826-Apr-01 00:00, 15 29 01.78, -17 24 28.9, 0.70153173092936,-12.2116989, 0.0728282, 245.05142, -87.10485,
 1826-Apr-08 00:00, 15 26 58.17, -17 26 17.7, 0.65520741193562,-10.6599471, 0.2865460, 272.83566, -77.98160,
 1826-Apr-15 00:00, 15 22 19.38, -17 20 58.5, 0.61569325877052, -8.8479047, 0.5056667, 276.78385, -66.95872,
 1826-Apr-22 00:00, 15 15 16.34, -17 08 33.5, 0.58395135770309, -6.8251998, 0.6998527, 278.48611, -54.10491,
 1826-Apr-29 00:00, 15 06 15.02, -16 49 35.4, 0.56073550912363, -4.6323258, 0.8473946, 279.54276, -38.88965,
 1826-May-06 00:00, 14 55 58.32, -16 25 36.0, 0.54666158343923, -2.3203165, 0.9194354, 280.23278, -20.90713,
 1826-May-13 00:00, 14 45 26.48, -15 59 30.0, 0.54194608972780, -0.0294539, 0.8966250, 280.54865, -0.292811,
 1826-May-20 00:00, 14 35 43.71, -15 35 07.0, 0.54618716160710, 2.0888504, 0.7843370, 280.31905, 21.963624,
 1826-May-27 00:00, 14 27 41.95, -15 16 11.8, 0.55850528507546, 3.9636775, 0.6072810, 279.09534, 44.030109,
 1826-Jun-03 00:00, 14 21 56.45, -15 05 46.9, 0.57787714462610, 5.5704477, 0.3880548, 275.29739, 64.050802,
 1826-Jun-10 00:00, 14 18 47.85, -15 05 53.5, 0.60312982552346, 6.8682317, 0.1577894, 258.08590, 80.491607,
 1826-Jun-17 00:00, 14 18 21.14, -15 17 14.0, 0.63299027050552, 7.8544219, 0.1253588, 143.75795, 83.037562,
 1826-Jun-24 00:00, 14 20 28.28, -15 39 17.9, 0.66631295692917, 8.5967974, 0.3285702, 119.92731, 72.890040,
 1826-Jul-01 00:00, 14 24 56.83, -16 10 57.7, 0.70226178938633, 9.1570327, 0.5250518, 114.67805, 64.046549,
 1826-Jul-08 00:00, 14 31 35.06, -16 50 50.7, 0.74012773679809, 9.5465015, 0.7032371, 112.19120, 56.614100,
 1826-Jul-15 00:00, 14 40 10.70, -17 37 19.7, 0.77924711384153, 9.7829501, 0.8596328, 110.54437, 50.386532,
 1826-Jul-22 00:00, 14 50 30.38, -18 28 36.2, 0.81911210111597, 9.9278714, 0.9939062, 109.20171, 45.252564,
 1826-Jul-29 00:00, 15 02 23.14, -19 22 54.8, 0.85946009293927, 10.0224533, 1.1119794, 107.92517, 40.944386,
 1826-Aug-05 00:00, 15 15 41.46, -20 18 37.7, 0.90007849436684, 10.0597408, 1.2171652, 106.61681, 37.222194,
 1826-Aug-12 00:00, 15 30 18.62, -21 14 07.4, 0.94072064679698, 10.0368120, 1.3092348, 105.24040, 33.986866,
 1826-Aug-19 00:00, 15 46 07.01, -22 07 44.6, 0.98121548191818, 9.9961464, 1.3883639, 103.77170, 31.259394,
 1826-Aug-26 00:00, 16 03 00.24, -22 57 54.7, 1.02156594988319, 9.9646130, 1.4588368, 102.18141, 28.948758,
 1826-Sep-02 00:00, 16 20 53.89, -23 43 09.4, 1.06178282891089, 9.9264558, 1.5229907, 100.46130, 26.922127,
 1826-Sep-09 00:00, 16 39 43.33, -24 22 03.8, 1.10179932536330, 9.8658216, 1.5800877, 98.621040, 25.117250,
 1826-Sep-16 00:00, 16 59 22.06, -24 53 17.0, 1.14157418588124, 9.8148250, 1.6293025, 96.669263, 23.582572,
 1826-Sep-23 00:00, 17 19 43.53, -25 15 35.5, 1.18120874942655, 9.7955988, 1.6733961, 94.608918, 22.291366,
 1826-Sep-30 00:00, 17 40 42.18, -25 27 54.9, 1.22080353520980, 9.7909250, 1.7140508, 92.456531, 21.159425,
 1826-Oct-07 00:00, 18 02 12.02, -25 29 21.4, 1.26036336847548, 9.7765679, 1.7504529, 90.241189, 20.131488,
 1826-Oct-14 00:00, 18 24 05.28, -25 19 14.9, 1.29987941716849, 9.7766423, 1.7811783, 87.988941, 19.254032,
 1826-Oct-21 00:00, 18 46 14.09, -24 57 08.7, 1.33946895995242, 9.8124680, 1.8081142, 85.720855, 18.528076,
 1826-Oct-28 00:00, 19 08 31.90, -24 22 48.7, 1.37925235601847, 9.8682327, 1.8326812, 83.466603, 17.896878,
 1826-Nov-04 00:00, 19 30 52.81, -23 36 15.4, 1.41924887483734, 9.9141571, 1.8543306, 81.262093, 17.307322,
 1826-Nov-11 00:00, 19 53 10.28, -22 37 46.8, 1.45942809898476, 9.9657305, 1.8713718, 79.135135, 16.795139,
 1826-Nov-18 00:00, 20 15 18.45, -21 27 53.9, 1.49987275600331, 10.0455510, 1.8851595, 77.105870, 16.376462,
 1826-Nov-25 00:00, 20 37 13.45, -20 07 15.5, 1.54067936486902, 10.1407045, 1.8970402, 75.198007, 16.012613,
 1826-Dec-02 00:00, 20 58 52.84, -18 36 38.9, 1.58184666061953, 10.2187038, 1.9068370, 73.436352, 15.653613,
 1826-Dec-09 00:00, 21 20 14.34, -16 57 03.3, 1.62329366918241, 10.2857458, 1.9128405, 71.834771, 15.322146,
 1826-Dec-16 00:00, 21 41 16.25, -15 09 33.9, 1.66503873780269, 10.3670407, 1.9159952, 70.399695, 15.044393,
 1826-Dec-23 00:00, 22 01 58.56, -13 15 15.1, 1.70713146289419, 10.4541476, 1.9176403, 69.140733, 14.795373,
 1826-Dec-30 00:00, 22 22 22.54, -11 15 11.3, 1.74953431906119, 10.5143686, 1.9179373, 68.068211, 14.529365,
 1827-Jan-06 00:00, 22 42 29.42, -09 10 31.8, 1.79210994322222, 10.5453880, 1.9153207, 67.182714, 14.256964,
 1827-Jan-13 00:00, 23 02 20.38, -07 02 27.3, 1.83480422054900, 10.5750428, 1.9103456, 66.480536, 14.010744,
 1827-Jan-20 00:00, 23 21 57.58, -04 52 03.0, 1.87761668497457, 10.6010776, 1.9043275, 65.962983, 13.777493,
 1827-Jan-27 00:00, 23 41 23.97, -02 40 20.1, 1.92047659521086, 10.5920990, 1.8976928, 65.633140, 13.515539,
 1827-Feb-03 00:00, 00 00 42.23, -00 28 21.0, 1.96320238757352, 10.5392834, 1.8890835, 65.485882, 13.225889,
 1827-Feb-10 00:00, 00 19 54.45, +01 42 51.4, 2.00567830724575, 10.4716464, 1.8786892, 65.514439, 12.943626,
 1827-Feb-17 00:00, 00 39 03.16, +03 52 19.9, 2.04786459325159, 10.3943698, 1.8677319, 65.717900, 12.666402,
 1827-Feb-24 00:00, 00 58 11.39, +05 59 12.1, 2.08967340881894, 10.2782422, 1.8568454, 66.097251, 12.356010,
 1827-Mar-03 00:00, 01 17 21.76, +08 02 35.8, 2.13090022154400, 10.1098265, 1.8448579, 66.645540, 12.006233,
 1827-Mar-10 00:00, 01 36 36.01, +10 01 38.1, 2.17138914343747, 9.9172857, 1.8316553, 67.355470, 11.651177,
 1827-Mar-17 00:00, 01 55 55.88, +11 55 30.7, 2.21107665905583, 9.7131331, 1.8182858, 68.225092, 11.298137,
 1827-Mar-24 00:00, 02 15 23.44, +13 43 29.8, 2.24987670732741, 9.4711677, 1.8055554, 69.253486, 10.912436,
 1827-Mar-31 00:00, 02 35 00.24, +15 24 53.0, 2.28758214113677, 9.1740734, 1.7924347, 70.431154, 10.481692,
 1827-Apr-07 00:00, 02 54 46.72, +16 58 58.1, 2.32401812915047, 8.8477077, 1.7785872, 71.748630, 10.036940,
 1827-Apr-14 00:00, 03 14 42.97, +18 25 07.2, 2.35911030807817, 8.5104881, 1.7648368, 73.200505, 9.5931866,
