date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 20 18 50.77, -20 41 49.8, 0.98150790652762,-45.0381846, 2.5458156, 67.038279, -56.15431,
 1825-Jan-08 00:00, 20 32 49.79, -18 05 05.2, 0.79947685759698,-41.7212485, 0.7629321, 341.91968, -79.97820,
 1825-Jan-15 00:00, 20 11 33.61, -17 09 20.0, 0.67697206300220,-15.3314024, 3.0626957, 269.56509, -31.45117,
 1825-Jan-22 00:00, 19 36 29.03, -18 03 07.1, 0.68214348921249, 15.7662452, 2.3026303, 259.31166, 39.709078,
 1825-Jan-29 00:00, 19 24 55.58, -19 19 52.4, 0.77851389537157, 28.9592603, 0.4704120, 149.99386, 81.308752,
 1825-Feb-05 00:00, 19 38 36.19, -20 08 20.4, 0.90006146356177, 30.0120202, 1.8948943, 95.599892, 55.512131,
 1825-Feb-12 00:00, 20 06 53.58, -20 06 53.3, 1.01588407899247, 26.9828097, 2.7661781, 87.181644, 38.458836,
 1825-Feb-19 00:00, 20 42 49.35, -19 06 25.0, 1.11706633280219, 23.0383745, 3.2830552, 81.267705, 27.456388,
 1825-Feb-26 00:00, 21 22 50.95, -17 03 49.5, 1.20211835530411, 19.0493683, 3.6519821, 76.131687, 19.741768,
 1825-Mar-05 00:00, 22 05 18.73, -13 58 38.6, 1.27099740427451, 14.9839611, 3.9765930, 71.607927, 13.775042,
 1825-Mar-12 00:00, 22 49 38.29, -09 51 37.9, 1.32241236074610, 10.2693881, 4.3098749, 67.792732, 8.4726756,
 1825-Mar-19 00:00, 23 35 57.13, -04 45 03.7, 1.35167406470770, 3.7841583, 4.6701864, 64.862139, 2.8334449,
 1825-Mar-26 00:00, 00 24 45.24, +01 14 22.9, 1.34828501299775, -6.2041833, 5.0208741, 63.061482, -4.341450,
 1825-Apr-02 00:00, 01 16 07.11, +07 46 22.9, 1.29501748500526,-20.8325374, 5.1816927, 62.727153, -14.40923,
 1825-Apr-09 00:00, 02 07 46.77, +14 02 20.5, 1.17859476360326,-36.1088527, 4.7981336, 64.168954, -27.84890,
 1825-Apr-16 00:00, 02 53 54.95, +18 55 05.9, 1.01453335872307,-43.1762774, 3.7368425, 67.423049, -43.29701,
 1825-Apr-23 00:00, 03 28 02.42, +21 44 53.6, 0.84335101338261,-40.1203415, 2.2832162, 73.225369, -59.88119,
 1825-Apr-30 00:00, 03 45 50.73, +22 28 06.6, 0.69825634222770,-30.9086334, 0.7404934, 97.293579, -78.56849,
 1825-May-07 00:00, 03 46 11.63, +21 14 25.0, 0.59809903968862,-18.1811456, 0.9658686, 218.71110, -68.98878,
 1825-May-14 00:00, 03 34 03.82, +18 36 03.1, 0.55362223775647, -3.7317496, 1.6376275, 228.98498, -18.79991,
 1825-May-21 00:00, 03 20 58.37, +15 52 13.3, 0.56660730012370, 9.7649668, 1.1462960, 224.91266, 51.202532,
 1825-May-28 00:00, 03 17 21.97, +14 27 24.7, 0.62844435346011, 20.2829936, 0.3104463, 125.64210, 83.367913,
 1825-Jun-04 00:00, 03 27 00.78, +14 48 57.1, 0.72658869622725, 27.8493606, 1.4660850, 72.705089, 65.185085,
 1825-Jun-11 00:00, 03 49 35.32, +16 36 34.4, 0.85061740942127, 33.1736704, 2.5940155, 70.557970, 51.198304,
 1825-Jun-18 00:00, 04 24 22.53, +19 13 34.7, 0.99160494221135, 36.0736787, 3.5883935, 72.912618, 39.983261,
 1825-Jun-25 00:00, 05 11 27.09, +21 55 19.3, 1.13622187937000, 34.4234661, 4.4958881, 77.835256, 29.134594,
 1825-Jul-02 00:00, 06 10 12.16, +23 43 47.1, 1.25884339154570, 24.7180705, 5.1983703, 85.000141, 17.348137,
 1825-Jul-09 00:00, 07 15 41.28, +23 39 30.0, 1.32646931583154, 8.2525634, 5.4063746, 93.486452, 5.4326115,
 1825-Jul-16 00:00, 08 19 11.15, +21 27 15.4, 1.32825082240876, -6.4616278, 5.1194675, 101.62808, -4.500415,
 1825-Jul-23 00:00, 09 15 05.55, +17 43 22.1, 1.28246631933112,-15.2669234, 4.6412083, 108.31043, -11.98514,
 1825-Jul-30 00:00, 10 02 37.30, +13 12 30.5, 1.21048090038046,-19.8500863, 4.1507030, 113.39562, -18.10420,
 1825-Aug-06 00:00, 10 42 47.75, +08 26 52.0, 1.12461049065529,-22.4200599, 3.6694743, 117.19874, -24.20584,
 1825-Aug-13 00:00, 11 16 28.14, +03 48 55.3, 1.03025174479036,-24.1660583, 3.1492027, 120.18046, -31.64450,
 1825-Aug-20 00:00, 11 43 32.97, -00 21 27.0, 0.92986378469710,-25.3808821, 2.4956326, 123.03597, -42.14185,
 1825-Aug-27 00:00, 12 02 27.55, -03 39 18.1, 0.82649361719756,-25.4478092, 1.5563692, 127.74739, -58.57584,
 1825-Sep-03 00:00, 12 09 37.81, -05 24 40.6, 0.72823145904781,-22.3454023, 0.2398478, 187.26254, -84.60241,
 1825-Sep-10 00:00, 12 00 33.26, -04 37 03.6, 0.65588275377674,-11.7097625, 1.7882212, 298.39018, -39.55158,
 1825-Sep-17 00:00, 11 37 56.24, -00 51 55.1, 0.64980866023234, 10.5518788, 2.6944996, 308.01964, 26.503385,
 1825-Sep-24 00:00, 11 22 18.70, +03 15 18.5, 0.74697148179001, 36.6294800, 1.0799713, 341.70525, 75.092923,
 1825-Oct-01 00:00, 11 32 53.44, +04 08 41.4, 0.92670189398482, 48.9984336, 2.1561907, 100.36131, 63.758440,
 1825-Oct-08 00:00, 12 05 28.95, +01 29 20.9, 1.11801186034597, 43.3829775, 3.7463978, 111.78013, 40.588817,
