date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 18 51 01.97, -22 03 39.2, 31.1902372034290, -0.5636724, 0.0946113, 86.206374, -0.911176,
 1825-Jan-08 00:00, 18 52 10.12, -22 02 17.6, 31.1808367258381, -4.0807574, 0.0939050, 86.008522, -6.582618,
 1825-Jan-15 00:00, 18 53 17.36, -22 00 53.8, 31.1572878990694, -7.5603351, 0.0921658, 85.810427, -12.29262,
 1825-Jan-22 00:00, 18 54 22.91, -21 59 29.0, 31.1198325831722,-10.9456452, 0.0893110, 85.616704, -18.05046,
 1825-Jan-29 00:00, 18 55 25.98, -21 58 04.4, 31.0690227409592,-14.1557625, 0.0853911, 85.425788, -23.82150,
 1825-Feb-05 00:00, 18 56 25.85, -21 56 41.4, 31.0056740711296,-17.1453935, 0.0805397, 85.231139, -29.60010,
 1825-Feb-12 00:00, 18 57 21.88, -21 55 20.9, 30.9306862455686,-19.9120138, 0.0748084, 85.031565, -35.45039,
 1825-Feb-19 00:00, 18 58 13.43, -21 54 04.4, 30.8450436335247,-22.4031932, 0.0681661, 84.828916, -41.39732,
 1825-Feb-26 00:00, 18 58 59.87, -21 52 53.1, 30.7500022412979,-24.5538801, 0.0607274, 84.614363, -47.40907,
 1825-Mar-05 00:00, 18 59 40.69, -21 51 48.1, 30.6470047282984,-26.3392020, 0.0526711, 84.369204, -53.46955,
 1825-Mar-12 00:00, 19 00 15.51, -21 50 50.4, 30.5374988105331,-27.7740333, 0.0440796, 84.073176, -59.63691,
 1825-Mar-19 00:00, 19 00 43.93, -21 50 01.0, 30.4229603059460,-28.8184201, 0.0349665, 83.688190, -65.95365,
 1825-Mar-26 00:00, 19 01 05.64, -21 49 20.7, 30.3050674312958,-29.4299397, 0.0254992, 83.090166, -72.39084,
 1825-Apr-02 00:00, 19 01 20.47, -21 48 50.2, 30.1855830165467,-29.6105893, 0.0158929, 81.852657, -78.91934,
 1825-Apr-09 00:00, 19 01 28.35, -21 48 29.8, 30.0661709813890,-29.3973487, 0.0062648, 77.022054, -85.57122,
 1825-Apr-16 00:00, 19 01 29.27, -21 48 19.8, 29.9484477373348,-28.7685618, 0.0035646, 278.59734, -87.43166,
 1825-Apr-23 00:00, 19 01 23.28, -21 48 20.3, 29.8341427672581,-27.7070966, 0.0129632, 268.49197, -80.42296,
 1825-Apr-30 00:00, 19 01 10.62, -21 48 31.1, 29.7249621139879,-26.2430977, 0.0220059, 266.91883, -73.23286,
 1825-May-07 00:00, 19 00 51.63, -21 48 51.8, 29.6224102633450,-24.4332516, 0.0305544, 266.27263, -65.87880,
 1825-May-14 00:00, 19 00 26.67, -21 49 21.9, 29.5278750135182,-22.2746435, 0.0385544, 265.91102, -58.29343,
 1825-May-21 00:00, 18 59 56.20, -21 50 00.7, 29.4427681439331,-19.7739249, 0.0458115, 265.68590, -50.49492,
 1825-May-28 00:00, 18 59 20.85, -21 50 47.3, 29.3683765401745,-16.9872798, 0.0521273, 265.54224, -42.55358,
 1825-Jun-04 00:00, 18 58 41.30, -21 51 40.6, 29.3056994704776,-13.9855476, 0.0574703, 265.43920, -34.49108,
