date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 04 10 29.16, +19 03 43.5, 8.27961132341011, 17.9533938, 0.1358056, 262.47798, 52.870453,
 1825-Jan-08 00:00, 04 09 02.48, +19 01 32.7, 8.35787949924188, 20.7099589, 0.1089910, 263.72670, 62.000082,
 1825-Jan-15 00:00, 04 07 55.54, +19 00 19.4, 8.44659540324252, 23.1146958, 0.0795601, 266.04979, 70.636653,
 1825-Jan-22 00:00, 04 07 10.04, +19 00 08.2, 8.54422888096235, 25.1124452, 0.0483548, 271.53287, 78.752156,
 1825-Jan-29 00:00, 04 06 47.14, +19 01 01.0, 8.64903967396827, 26.6610885, 0.0181204, 296.86313, 85.935558,
 1825-Feb-05 00:00, 04 06 47.27, +19 02 58.0, 8.75921150991282, 27.7734898, 0.0220184, 47.057708, 85.201841,
 1825-Feb-12 00:00, 04 07 10.36, +19 05 57.6, 8.87307479041620, 28.4851564, 0.0528715, 65.882440, 78.740819,
 1825-Feb-19 00:00, 04 07 56.24, +19 09 57.2, 8.98894513736302, 28.7630544, 0.0845864, 70.758131, 72.279337,
 1825-Feb-26 00:00, 04 09 04.31, +19 14 52.5, 9.10507207240937, 28.6160132, 0.1152736, 73.044036, 66.089496,
 1825-Mar-05 00:00, 04 10 33.52, +19 20 38.0, 9.21979895255039, 28.0806579, 0.1442444, 74.409080, 60.209342,
 1825-Mar-12 00:00, 04 12 22.63, +19 27 07.7, 9.33168911247283, 27.2164390, 0.1714243, 75.378342, 54.606466,
 1825-Mar-19 00:00, 04 14 30.48, +19 34 15.1, 9.43939449832614, 26.0071707, 0.1968064, 76.150411, 49.189894,
 1825-Mar-26 00:00, 04 16 55.69, +19 41 53.5, 9.54153779747033, 24.4740689, 0.2198964, 76.803061, 43.977625,
 1825-Apr-02 00:00, 04 19 36.63, +19 49 55.4, 9.63692541546270, 22.6749124, 0.2405499, 77.381654, 38.977523,
 1825-Apr-09 00:00, 04 22 31.70, +19 58 14.1, 9.72459270364837, 20.6589202, 0.2589462, 77.914130, 34.162071,
 1825-Apr-16 00:00, 04 25 39.43, +20 06 42.9, 9.80367128029759, 18.4244624, 0.2752188, 78.430902, 29.459261,
 1825-Apr-23 00:00, 04 28 58.28, +20 15 15.5, 9.87328840469751, 15.9856647, 0.2890895, 78.927683, 24.855729,
 1825-Apr-30 00:00, 04 32 26.51, +20 23 45.5, 9.93274332257332, 13.4095570, 0.3004531, 79.412826, 20.386907,
