date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 18 55 40.84, -22 50 38.8, 0.98319162215989, -0.0046460, 2.5478941, 85.536929, -0.014576,
 1825-Jan-08 00:00, 19 26 19.08, -21 58 43.2, 0.98332979058729, 0.0737191, 2.5470449, 82.566412, 0.1337302,
 1825-Jan-15 00:00, 19 56 30.25, -20 45 47.0, 0.98376285931039, 0.1357978, 2.5464089, 79.745617, 0.2511634,
 1825-Jan-22 00:00, 20 26 07.59, -19 13 30.2, 0.98440358609848, 0.1805491, 2.5433145, 77.132062, 0.3360335,
 1825-Jan-29 00:00, 20 55 05.96, -17 23 57.4, 0.98523234571035, 0.2318735, 2.5376949, 74.765754, 0.4338071,
 1825-Feb-05 00:00, 21 23 23.60, -15 19 24.2, 0.98630211202577, 0.2990896, 2.5315029, 72.671096, 0.5620046,
 1825-Feb-12 00:00, 21 51 02.50, -13 02 04.8, 0.98763074422649, 0.3529397, 2.5261872, 70.869223, 0.6647322,
 1825-Feb-19 00:00, 22 18 06.07, -10 34 20.2, 0.98912209956652, 0.3825855, 2.5192398, 69.378118, 0.7219581,
 1825-Feb-26 00:00, 22 44 38.02, -07 58 37.8, 0.99072145455444, 0.4099413, 2.5100177, 68.201825, 0.7755982,
 1825-Mar-05 00:00, 23 10 43.44, -05 17 19.4, 0.99245745425903, 0.4514558, 2.5000973, 67.336954, 0.8566282,
 1825-Mar-12 00:00, 23 36 29.49, -02 32 33.5, 0.99436161371987, 0.4854742, 2.4917385, 66.785208, 0.9229352,
 1825-Mar-19 00:00, 00 02 03.75, +00 13 33.7, 0.99634355217159, 0.4915838, 2.4828591, 66.549073, 0.9361143,
 1825-Mar-26 00:00, 00 27 32.62, +02 58 51.0, 0.99832337440733, 0.4881310, 2.4722794, 66.621678, 0.9316522,
 1825-Apr-02 00:00, 00 53 02.18, +05 41 11.9, 1.00030752369435, 0.4965626, 2.4610467, 66.994260, 0.9503065,
 1825-Apr-09 00:00, 01 18 39.46, +08 18 41.2, 1.00234058285888, 0.5052205, 2.4518552, 67.667047, 0.9686468,
 1825-Apr-16 00:00, 01 44 31.50, +10 49 26.0, 1.00435298480593, 0.4862503, 2.4433140, 68.639966, 0.9334697,
 1825-Apr-23 00:00, 02 10 43.20, +13 11 27.2, 1.00625169267181, 0.4524431, 2.4337735, 69.902324, 0.8699663,
