date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 19 18 16.36, -22 38 34.1, 20.5550215276844, 2.9933243, 0.1481285, 83.428761, 4.6439062,
 1825-Jan-08 00:00, 19 20 03.47, -22 35 15.1, 20.5601943961943, -0.4350440, 0.1485238, 83.293217, -0.681106,
 1825-Jan-15 00:00, 19 21 50.26, -22 31 53.1, 20.5514898984039, -3.8704151, 0.1474555, 83.157215, -6.037085,
 1825-Jan-22 00:00, 19 23 35.63, -22 28 30.4, 20.5289560200102, -7.2630800, 0.1447753, 83.031002, -11.43466,
 1825-Jan-29 00:00, 19 25 18.43, -22 25 09.6, 20.4929287585014,-10.5343946, 0.1405259, 82.914026, -16.84189,
 1825-Feb-05 00:00, 19 26 57.59, -22 21 53.1, 20.4440093261411,-13.6372313, 0.1348795, 82.804637, -22.25550,
 1825-Feb-12 00:00, 19 28 32.15, -22 18 43.3, 20.3828858503841,-16.5705928, 0.1278999, 82.706743, -27.74088,
 1825-Feb-19 00:00, 19 30 01.13, -22 15 42.8, 20.3103185804374,-19.2857706, 0.1194943, 82.632240, -33.32362,
 1825-Feb-26 00:00, 19 31 23.55, -22 12 54.3, 20.2273351188049,-21.7145466, 0.1097798, 82.581765, -38.97468,
 1825-Mar-05 00:00, 19 32 38.56, -22 10 20.3, 20.1351753575840,-23.8247059, 0.0989869, 82.557471, -44.68146,
 1825-Mar-12 00:00, 19 33 45.45, -22 08 02.8, 20.0351058525678,-25.6278968, 0.0872241, 82.570199, -50.50373,
 1825-Mar-19 00:00, 19 34 43.53, -22 06 04.0, 19.9284238280472,-27.0848375, 0.0744568, 82.646065, -56.48746,
 1825-Mar-26 00:00, 19 35 32.14, -22 04 26.0, 19.8166431754773,-28.1444953, 0.0608818, 82.810682, -62.60846,
 1825-Apr-02 00:00, 19 36 10.82, -22 03 10.2, 19.7014096068828,-28.7963646, 0.0467919, 83.124673, -68.84509,
 1825-Apr-09 00:00, 19 36 39.28, -22 02 17.5, 19.5843121294461,-29.0692953, 0.0323376, 83.781972, -75.24626,
 1825-Apr-16 00:00, 19 36 57.26, -22 01 48.9, 19.4669106833637,-28.9386086, 0.0175572, 85.656627, -81.87504,
 1825-Apr-23 00:00, 19 37 04.61, -22 01 44.8, 19.3509092919043,-28.3748736, 0.0029290, 106.91446, -88.61686,
 1825-Apr-30 00:00, 19 37 01.41, -22 02 04.9, 19.2380448008772,-27.3942611, 0.0120028, 255.66308, -84.18219,
 1825-May-07 00:00, 19 36 47.93, -22 02 48.4, 19.1299000154779,-26.0452817, 0.0261095, 258.94466, -76.94892,
 1825-May-14 00:00, 19 36 24.50, -22 03 54.2, 19.0279601671287,-24.3205766, 0.0397207, 259.93715, -69.41163,
 1825-May-21 00:00, 19 35 51.58, -22 05 20.9, 18.9337675612559,-22.2152884, 0.0524956, 260.45708, -61.59515,
 1825-May-28 00:00, 19 35 09.91, -22 07 06.4, 18.8487887687636,-19.7741943, 0.0640827, 260.81409, -53.56037,
 1825-Jun-04 00:00, 19 34 20.37, -22 09 07.9, 18.7742364174049,-17.0645196, 0.0743622, 261.08650, -45.32084,
 1825-Jun-11 00:00, 19 33 23.92, -22 11 22.8, 18.7111618039076,-14.0959123, 0.0832671, 261.31468, -36.81659,
 1825-Jun-18 00:00, 19 32 21.61, -22 13 48.4, 18.6605878965699,-10.8872172, 0.0905129, 261.52598, -28.07285,
 1825-Jun-25 00:00, 19 31 14.74, -22 16 21.1, 18.6233634494312, -7.5074115, 0.0958344, 261.73293, -19.19198,
 1825-Jul-02 00:00, 19 30 04.68, -22 18 57.6, 18.6000050191467, -4.0353002, 0.0992464, 261.92766, -10.25605,
 1825-Jul-09 00:00, 19 28 52.79, -22 21 34.8, 18.5908341797782, -0.4908952, 0.1007772, 262.11503, -1.247344,
 1825-Jul-16 00:00, 19 27 40.47, -22 24 09.6, 18.5960891025093, 3.0917374, 0.1002712, 262.30148, 7.8049823,
 1825-Jul-23 00:00, 19 26 29.22, -22 26 38.8, 18.6157765896675, 6.6316933, 0.0976262, 262.49118, 16.792772,
 1825-Jul-30 00:00, 19 25 20.53, -22 28 59.4, 18.6495465342332, 10.0525356, 0.0930479, 262.67341, 25.601236,
 1825-Aug-06 00:00, 19 24 15.72, -22 31 09.2, 18.6968763251345, 13.3374522, 0.0866962, 262.85307, 34.239616,
 1825-Aug-13 00:00, 19 23 16.09, -22 33 05.9, 18.7571601297418, 16.4517116, 0.0785693, 263.03803, 42.720294,
 1825-Aug-20 00:00, 19 22 22.91, -22 34 47.6, 18.8295661322684, 19.3185547, 0.0687330, 263.24014, 50.997623,
 1825-Aug-27 00:00, 19 21 37.29, -22 36 12.4, 18.9129480378771, 21.8795650, 0.0575506, 263.45714, 58.978864,
 1825-Sep-03 00:00, 19 21 00.12, -22 37 19.3, 19.0060673461412, 24.1349890, 0.0452613, 263.72590, 66.690922,
 1825-Sep-10 00:00, 19 20 32.17, -22 38 07.5, 19.1076554819676, 26.0624205, 0.0319568, 264.15453, 74.187264,
 1825-Sep-17 00:00, 19 20 14.13, -22 38 35.7, 19.2162759654108, 27.6019682, 0.0178007, 265.18909, 81.480317,
 1825-Sep-24 00:00, 19 20 06.49, -22 38 43.7, 19.3302688568354, 28.7232834, 0.0032610, 274.89713, 88.480435,
 1825-Oct-01 00:00, 19 20 09.45, -22 38 31.3, 19.4479941778360, 29.4505565, 0.0116285, 79.826368, 84.696861,
 1825-Oct-08 00:00, 19 20 23.12, -22 37 58.2, 19.5678622005473, 29.7798021, 0.0265267, 81.662971, 78.102120,
 1825-Oct-15 00:00, 19 20 47.54, -22 37 04.5, 19.6881963732113, 29.6737504, 0.0413695, 82.156802, 71.644635,
 1825-Oct-22 00:00, 19 21 22.52, -22 35 50.3, 19.8072048061581, 29.1322740, 0.0557612, 82.372326, 65.378801,
 1825-Oct-29 00:00, 19 22 07.64, -22 34 16.2, 19.9232291367636, 28.2028940, 0.0695383, 82.466251, 59.297700,
 1825-Nov-05 00:00, 19 23 02.44, -22 32 22.6, 20.0347425250067, 26.9000602, 0.0826516, 82.488736, 53.346191,
 1825-Nov-12 00:00, 19 24 06.39, -22 30 10.1, 20.1402097284906, 25.2086380, 0.0949673, 82.470367, 47.473257,
 1825-Nov-19 00:00, 19 25 18.79, -22 27 39.4, 20.2380822685100, 23.1555107, 0.1061673, 82.427245, 41.716506,
 1825-Nov-26 00:00, 19 26 38.77, -22 24 51.9, 20.3270404959040, 20.8068427, 0.1161721, 82.359951, 36.086403,
 1825-Dec-03 00:00, 19 28 05.47, -22 21 48.6, 20.4059615107533, 18.1916951, 0.1249988, 82.270522, 30.537711,
 1825-Dec-10 00:00, 19 29 38.02, -22 18 30.7, 20.4737739038461, 15.3118008, 0.1325583, 82.168858, 25.016117,
 1825-Dec-17 00:00, 19 31 15.39, -22 15 00.0, 20.5294745897432, 12.2149435, 0.1386104, 82.060380, 19.545996,
 1825-Dec-24 00:00, 19 32 56.49, -22 11 18.3, 20.5723541441047, 8.9786843, 0.1431553, 81.943702, 14.150476,
 1825-Dec-31 00:00, 19 34 40.26, -22 07 27.7, 20.6019363936936, 5.6397144, 0.1462749, 81.817681, 8.7951780,
 1826-Jan-07 00:00, 19 36 25.65, -22 03 30.0, 20.6178260401133, 2.2079798, 0.1479173, 81.690980, 3.4218636,
 1826-Jan-14 00:00, 19 38 11.56, -21 59 28.0, 20.6197452067708, -1.2561265, 0.1479164, 81.568460, -1.957179,
 1826-Jan-21 00:00, 19 39 56.81, -21 55 24.2, 20.6077354933512, -4.6734756, 0.1463438, 81.448839, -7.311063,
 1826-Jan-28 00:00, 19 41 40.33, -21 51 21.4, 20.5820701752180, -8.0089036, 0.1433401, 81.329982, -12.66266,
 1826-Feb-04 00:00, 19 43 21.12, -21 47 22.0, 20.5430948287364,-11.2538199, 0.1388871, 81.221583, -18.07656,
 1826-Feb-11 00:00, 19 44 58.10, -21 43 29.3, 20.4912828145019,-14.3447308, 0.1328882, 81.128608, -23.55183,
 1826-Feb-18 00:00, 19 46 30.24, -21 39 46.1, 20.4274125603908,-17.2116427, 0.1254809, 81.050299, -29.05562,
 1826-Feb-25 00:00, 19 47 56.60, -21 36 15.4, 20.3524538783271,-19.8297574, 0.1168607, 80.986102, -34.59832,
 1826-Mar-04 00:00, 19 49 16.36, -21 32 59.8, 20.2674049373415,-22.1997210, 0.1070455, 80.949955, -40.25042,
 1826-Mar-11 00:00, 19 50 28.66, -21 30 02.1, 20.1733677399254,-24.2636165, 0.0960085, 80.950053, -46.02501,
 1826-Mar-18 00:00, 19 51 32.72, -21 27 25.0, 20.0717020363413,-25.9689301, 0.0839545, 80.992230, -51.89128,
 1826-Mar-25 00:00, 19 52 27.91, -21 25 10.6, 19.9638881477371,-27.3080526, 0.0711344, 81.091602, -57.84658,
 1826-Apr-01 00:00, 19 53 13.75, -21 23 20.6, 19.8513660900215,-28.2961617, 0.0576065, 81.299872, -63.96376,
 1826-Apr-08 00:00, 19 53 49.74, -21 21 56.9, 19.7356323314110,-28.8872803, 0.0434174, 81.709376, -70.27448,
 1826-Apr-15 00:00, 19 54 15.52, -21 21 00.7, 19.6183700460218,-29.0513191, 0.0288491, 82.580766, -76.74868,
 1826-Apr-22 00:00, 19 54 30.92, -21 20 32.6, 19.5012911228800,-28.8030250, 0.0142188, 85.272234, -83.36238,
 1826-Apr-29 00:00, 19 54 35.94, -21 20 32.5, 19.3859837649069,-28.1751729, 0.0014107, 190.55566, -89.32777,
 1826-May-06 00:00, 19 54 30.61, -21 21 00.5, 19.2740309017655,-27.1381403, 0.0150877, 254.96484, -82.61970,
 1826-May-13 00:00, 19 54 15.11, -21 21 55.7, 19.1671136499506,-25.6873626, 0.0291305, 257.46036, -75.27874,
 1826-May-20 00:00, 19 53 49.90, -21 23 16.6, 19.0668361393361,-23.8635749, 0.0424072, 258.36132, -67.72772,
 1826-May-27 00:00, 19 53 15.56, -21 25 01.0, 18.9745883838476,-21.7174959, 0.0548172, 258.85196, -59.93293,
 1826-Jun-03 00:00, 19 52 32.74, -21 27 06.9, 18.8916878217899,-19.2384883, 0.0662171, 259.18859, -51.83446,
 1826-Jun-10 00:00, 19 51 42.25, -21 29 31.5, 18.8194536484983,-16.4485512, 0.0762606, 259.46283, -43.47747,
 1826-Jun-17 00:00, 19 50 45.16, -21 32 11.3, 18.7590215552080,-13.4138501, 0.0846774, 259.70130, -34.94136,
 1826-Jun-24 00:00, 19 49 42.63, -21 35 02.8, 18.7112316330611,-10.1985544, 0.0914567, 259.91306, -26.24878,
 1826-Jul-01 00:00, 19 48 35.81, -21 38 02.5, 18.6767976078693, -6.8090006, 0.0965118, 260.11327, -17.35903,
 1826-Jul-08 00:00, 19 47 26.03, -21 41 06.7, 18.6563536515187, -3.2886344, 0.0995906, 260.31395, -8.335897,
 1826-Jul-15 00:00, 19 46 14.73, -21 44 11.3, 18.6502706418519, 0.2791261, 0.1005689, 260.50953, 0.6997486,
 1826-Jul-22 00:00, 19 45 03.39, -21 47 12.6, 18.6585813960766, 3.8278922, 0.0995910, 260.69623, 9.6658404,
 1826-Jul-29 00:00, 19 43 53.34, -21 50 07.3, 18.6811814309860, 7.3441589, 0.0966942, 260.88177, 18.585345,
 1826-Aug-05 00:00, 19 42 46.02, -21 52 52.0, 18.7178510614345, 10.7763346, 0.0917854, 261.07437, 27.421135,
 1826-Aug-12 00:00, 19 41 42.85, -21 55 23.5, 18.7680845383715, 14.0386855, 0.0849293, 261.26751, 36.074511,
 1826-Aug-19 00:00, 19 40 45.13, -21 57 39.1, 18.8310601084088, 17.0781543, 0.0764376, 261.45983, 44.464057,
 1826-Aug-26 00:00, 19 39 53.96, -21 59 36.9, 18.9058677333297, 19.8884852, 0.0664629, 261.66783, 52.629482,
 1826-Sep-02 00:00, 19 39 10.41, -22 01 14.6, 18.9915054655206, 22.4257738, 0.0550474, 261.92239, 60.597640,
 1826-Sep-09 00:00, 19 38 35.45, -22 02 30.5, 19.0867258378164, 24.6172104, 0.0423971, 262.26309, 68.328960,
 1826-Sep-16 00:00, 19 38 09.84, -22 03 23.5, 19.1900474092631, 26.4360436, 0.0289173, 262.82163, 75.762181,
 1826-Sep-23 00:00, 19 37 54.10, -22 03 52.8, 19.2999959758256, 27.8941083, 0.0148007, 264.33628, 82.943377,
 1826-Sep-30 00:00, 19 37 48.65, -22 03 57.6, 19.4150713701701, 28.9654472, 0.0007868, 343.65951, 89.634749,
 1826-Oct-07 00:00, 19 37 53.83, -22 03 37.5, 19.5336086826827, 29.5997344, 0.0148868, 78.391704, 83.227665,
 1826-Oct-14 00:00, 19 38 09.69, -22 02 52.5, 19.6538211941801, 29.8018157, 0.0297474, 79.915995, 76.659371,
 1826-Oct-21 00:00, 19 38 36.10, -22 01 42.8, 19.7740404761159, 29.6047371, 0.0443702, 80.399381, 70.290342,
 1826-Oct-28 00:00, 19 39 12.85, -22 00 08.7, 19.8926520526805, 29.0030236, 0.0586730, 80.608932, 64.059192,
 1826-Nov-04 00:00, 19 39 59.63, -21 58 10.6, 20.0079672787398, 27.9715445, 0.0724311, 80.709128, 57.941807,
 1826-Nov-11 00:00, 19 40 55.92, -21 55 49.4, 20.1182885954032, 26.5447321, 0.0853124, 80.748803, 51.988481,
 1826-Nov-18 00:00, 19 42 01.04, -21 53 06.3, 20.2221375055008, 24.7744270, 0.0972529, 80.739514, 46.180487,
 1826-Nov-25 00:00, 19 43 14.30, -21 50 02.3, 20.3181608243747, 22.6728669, 0.1082268, 80.697759, 40.461258,
 1826-Dec-02 00:00, 19 44 34.96, -21 46 38.6, 20.4050096072718, 20.2372408, 0.1180642, 80.637390, 34.794090,
 1826-Dec-09 00:00, 19 46 02.07, -21 42 57.1, 20.4814214824939, 17.5249862, 0.1265150, 80.562549, 29.223778,
 1826-Dec-16 00:00, 19 47 34.65, -21 38 59.8, 20.5464273766450, 14.6013899, 0.1336000, 80.469440, 23.747670,
 1826-Dec-23 00:00, 19 49 11.71, -21 34 48.4, 20.5992310405754, 11.4900156, 0.1393507, 80.364974, 18.316940,
 1826-Dec-30 00:00, 19 50 52.28, -21 30 25.3, 20.6390915093174, 8.2031591, 0.1436479, 80.256244, 12.887495,
 1827-Jan-06 00:00, 19 52 35.24, -21 25 53.0, 20.6654202446598, 4.8122184, 0.1463198, 80.145962, 7.4947321,
