date, rightAsc, dec, dist, deltadot, skyMotion, skyMotionPa, relVelAng,
 1825-Jan-01 00:00, 21 34 45.03, -16 19 57.3, 1.17711547807811,-10.6196630, 3.0269509, 70.975057, -13.85534,
 1825-Jan-08 00:00, 22 07 25.13, -13 19 25.6, 1.13353306889877,-10.9346019, 3.0063151, 68.474037, -14.87058,
 1825-Jan-15 00:00, 22 38 57.15, -10 02 43.4, 1.08869744643105,-11.2459468, 2.9828902, 66.425772, -15.99029,
 1825-Jan-22 00:00, 23 09 29.42, -06 34 15.7, 1.04257143526795,-11.5715014, 2.9541302, 64.837195, -17.27007,
 1825-Jan-29 00:00, 23 39 10.54, -02 58 28.0, 0.99513131057313,-11.8917703, 2.9175102, 63.698226, -18.72261,
 1825-Feb-05 00:00, 00 08 09.02, +00 40 22.9, 0.94644997169423,-12.1814482, 2.8721527, 62.990786, -20.34432,
 1825-Feb-12 00:00, 00 36 33.50, +04 18 18.2, 0.89666272979262,-12.4443838, 2.8189359, 62.703641, -22.16434,
 1825-Feb-19 00:00, 01 04 31.44, +07 51 29.4, 0.84582244573108,-12.7018961, 2.7544919, 62.822460, -24.27978,
 1825-Feb-26 00:00, 01 32 05.83, +11 16 07.9, 0.79397843105545,-12.9360834, 2.6736485, 63.316966, -26.75708,
 1825-Mar-05 00:00, 01 59 14.08, +14 28 32.5, 0.74129207012693,-13.1116190, 2.5718629, 64.148902, -29.64042,
 1825-Mar-12 00:00, 02 25 48.16, +17 25 21.9, 0.68805820408015,-13.2092283, 2.4469421, 65.289041, -32.98839,
 1825-Mar-19 00:00, 02 51 33.41, +20 03 37.9, 0.63455966795067,-13.2411936, 2.2912030, 66.692378, -36.99788,
 1825-Mar-26 00:00, 03 16 02.93, +22 20 37.9, 0.58110952116865,-13.1772885, 2.0908626, 68.281225, -41.90090,
 1825-Apr-02 00:00, 03 38 33.96, +24 14 01.5, 0.52821603255059,-12.9520723, 1.8291525, 69.976173, -47.96021,
 1825-Apr-09 00:00, 03 58 07.48, +25 41 50.5, 0.47669334510266,-12.4907359, 1.4907079, 71.798958, -55.48542,
 1825-Apr-16 00:00, 04 13 29.30, +26 42 06.5, 0.42759490686434,-11.7398203, 1.0546439, 74.112509, -65.09396,
 1825-Apr-23 00:00, 04 23 07.41, +27 11 49.5, 0.38230868638329,-10.5790148, 0.4991239, 80.150738, -77.70022,
 1825-Apr-30 00:00, 04 25 23.92, +27 05 40.1, 0.34285381098343, -8.8202536, 0.2160177, 221.82231, -84.20429,
 1825-May-07 00:00, 04 19 21.01, +26 15 45.0, 0.31203247930220, -6.2931435, 0.9213741, 240.32548, -61.09020,
 1825-May-14 00:00, 04 06 00.29, +24 36 34.9, 0.29297480178759, -3.0263253, 1.4870420, 239.64882, -29.88043,
 1825-May-21 00:00, 03 49 05.78, +22 16 43.9, 0.28817308563509, 0.6851651, 1.6654322, 236.26427, 6.7408748,
 1825-May-28 00:00, 03 33 53.43, +19 45 20.9, 0.29840982129142, 4.3203186, 1.3741666, 230.42865, 41.078038,
 1825-Jun-04 00:00, 03 24 35.78, +17 38 19.6, 0.32232229425206, 7.3846153, 0.7887727, 216.18535, 67.405332,
 1825-Jun-11 00:00, 03 22 51.33, +16 17 10.3, 0.35703313780357, 9.6573409, 0.3760258, 152.18300, 80.460997,
 1825-Jun-18 00:00, 03 28 14.12, +15 44 01.4, 0.39945002770937, 11.2266279, 0.7379784, 94.600436, 72.390203,
 1825-Jun-25 00:00, 03 39 31.46, +15 50 09.6, 0.44711816789960, 12.2877664, 1.1953713, 82.922598, 62.264719,
 1825-Jul-02 00:00, 03 55 33.43, +16 23 56.6, 0.49830486504080, 12.9827495, 1.5705707, 79.599322, 53.918597,
